name,description,price,tags,category
"El Revuelto Norteno","Huevos revueltos con machaca artesanal, frijoles refritos, salsa tatemada y tortillas de harina hechas a mano.",195,"el-beneficio-bistro;huevo;desayuno","desayuno"
"El Sol y La Luna","Rancheros en salsa verde y roja, tortillas con asiento de frijol y queso fresco.",175,"el-beneficio-bistro;huevo;desayuno","desayuno"
"La Milpa a Elegir","Chilaquiles, enchiladas, enfrijoladas o enmoladas con pavo organico, pollo, huevo, chorizo de semillas o queso de rancho.",190,"el-beneficio-bistro;maiz;desayuno;antojito","desayuno"
"El Trio Vegano","Mini sopes con frijoles negros al aroma de hoja de aguacate, chorizo de semillas, salsa mantejada y guaje.",165,"el-beneficio-bistro;vegano;maiz;desayuno","desayuno"
"Las Suizas Fundidas","Enchiladas rellenas de pollo o pavo organico con salsa verde de cuaresmeno y cilantro, crema de rancho y gratinado de manchego anejo.",195,"el-beneficio-bistro;maiz;enchiladas;desayuno","desayuno"
"El Burrito Artesanal","Tortilla de harina artesanal rellena de chorizo de semillas, queso fundido y salsa de jitomate.",185,"el-beneficio-bistro;trigo;burrito;desayuno","desayuno"
"El Sandwich Consentido","Pan campesino, jamon artesanal, queso holandes mexicano gratinado, mostaza y creme fraiche.",195,"el-beneficio-bistro;trigo;sandwich;desayuno","desayuno"
"El Cuernito Fino","Croissant de mantequilla, queso brie, compota de frutos rojos, berros y tocino artesanal.",185,"el-beneficio-bistro;trigo;croissant;desayuno","desayuno"
"El Especial Poblano","Brioche dorado, holandesa de poblano, rajas, cebolla y manchego fresco.",175,"el-beneficio-bistro;trigo;desayuno","desayuno"
"La Torta Nortena","A la nortena, guisado de jitomate, machaca de res organica, frijoles refritos y encurtidos caseros.",195,"el-beneficio-bistro;trigo;torta;desayuno","desayuno"
"La Ensalada","Mezcla de lechugas frescas y jitomates, balsamico blanco, flor de sal y parmigiano.",165,"el-beneficio-bistro;huerta;ensalada;desayuno","desayuno"
"El Quelite","Quelites de estacion, tomate amarillo y queso de montana con mermelada de temporada.",170,"el-beneficio-bistro;huerta;vegetariano;desayuno","desayuno"
"Omelete de Nopal","A la mexicana y queso panela, salsa roja y quesadilla con epazote.",195,"el-beneficio-bistro;sugerencia;desayuno;huevo","desayuno"
"Chilaquiles Pasilla","Costilla de res sin hueso, aguacate, frijol, crema y queso de rancho.",195,"el-beneficio-bistro;sugerencia;desayuno;chilaquiles","desayuno"
"Croque Madame","Salsa mornay, jamon y queso fundido con huevo estrellado y jitomates macerados oregano y balsamico.",195,"el-beneficio-bistro;sugerencia;desayuno;sandwich","desayuno"
"Wrap de Pollo Crispy","Lechuga con aderezo cesar, pollo empanizado y salsa macha que no pica con jitomates frescos.",195,"el-beneficio-bistro;sugerencia;desayuno;pollo","desayuno"
"Bowl Tropical","Lassi de mango y coco fresco con uva y kiwi, nibs de cacao, miel y menta.",195,"el-beneficio-bistro;sugerencia;desayuno;bowl","desayuno"
"Licuado de Kefir Nuez y Mamey","Bebida de temporada.",85,"el-beneficio-bistro;bebida-de-temporada;licuado","bebida"
"Lassi de Mango y Coco con Menta y Cardamomo","Bebida de temporada.",85,"el-beneficio-bistro;bebida-de-temporada;lassi","bebida"
"Jugo de Pina Guayaba Apio Miel y Naranja","Bebida de temporada.",85,"el-beneficio-bistro;bebida-de-temporada;jugo","bebida"
"Jugo de Maracuya Mango Espinaca y Curcuma","Bebida de temporada.",85,"el-beneficio-bistro;bebida-de-temporada;jugo","bebida"
"Cold Brew Tonic","Bebida de temporada.",85,"el-beneficio-bistro;bebida-de-temporada;cafe","bebida"
"Soda Frezz de Temporada","Bebida de temporada.",85,"el-beneficio-bistro;bebida-de-temporada;soda","bebida"
